,beds,baths,size,size_units,lot_size,lot_size_units,zip_code,price,price_per_sqft
40,3,2.5,1500.0,1.0,1056.0,1056.0,98103,1070000.0,71333333.33333333
41,5,4.0,2920.0,1.0,6323.0,6323.0,98133,948000.0,32465753.424657535
42,3,2.0,2817.0,1.0,6375.0,6375.0,98103,912000.0,32374866.879659213
43,1,1.0,617.0,1.0,0.49,21344.399999999998,98109,480000.0,77795786.06158833
44,2,2.0,1280.0,1.0,3000.0,3000.0,98112,776000.0,60625000.0
46,2,1.0,1240.0,1.0,5038.0,5038.0,98126,750000.0,60483870.96774194
47,4,2.5,2280.0,1.0,3932.0,3932.0,98106,1065000.0,46710526.315789476
48,5,3.5,3590.0,1.0,0.36,15681.599999999999,98136,2350000.0,65459610.02785515
49,4,3.5,2478.0,1.0,2761.0,2761.0,98115,1580000.0,63761097.65940274
50,3,3.0,2360.0,1.0,6600.0,6600.0,98117,1775000.0,75211864.40677966
51,2,1.0,720.0,1.0,7500.0,7500.0,98177,600000.0,83333333.33333333
52,3,2.0,2480.0,1.0,5829.0,5829.0,98126,800000.0,32258064.51612903
53,3,2.0,1550.0,1.0,6720.0,6720.0,98199,1100000.0,70967741.93548387
54,2,1.0,780.0,1.0,3060.0,3060.0,98103,750000.0,96153846.15384616
55,5,3.0,2820.0,1.0,6250.0,6250.0,98136,865000.0,30673758.865248226
56,5,3.0,2900.0,1.0,3600.0,3600.0,98112,1450000.0,50000000.0
57,2,2.0,1092.0,1.0,5500.0,5500.0,98122,829000.0,75915750.91575092
58,3,2.0,1731.0,1.0,7514.0,7514.0,98125,575000.0,33217793.18313114
59,3,2.5,1500.0,1.0,8240.0,8240.0,98105,860000.0,57333333.333333336
60,2,2.5,1344.0,1.0,1110.0,1110.0,98122,770000.0,57291666.666666664
61,4,5.5,4040.0,1.0,8965.0,8965.0,98105,5495000.0,136014851.48514852
62,5,3.0,2320.0,1.0,0.27,11761.2,98168,560000.0,24137931.03448276
63,5,3.0,2820.0,1.0,6250.0,6250.0,98136,900000.0,31914893.617021278
64,3,1.0,1070.0,1.0,3840.0,3840.0,98117,575000.0,53738317.75700934
66,4,2.0,2100.0,1.0,4864.0,4864.0,98117,950000.0,45238095.23809524
67,3,2.5,2620.0,1.0,4080.0,4080.0,98119,1300000.0,49618320.610687025
68,3,2.0,1270.0,1.0,1333.0,1333.0,98103,727000.0,57244094.488188975
69,3,2.0,2702.0,1.0,6600.0,6600.0,98103,1605000.0,59400444.11547002
70,4,3.5,2031.0,1.0,1.0,43560.0,98117,1480000.0,72870507.13934022
71,3,2.0,2350.0,1.0,7320.0,7320.0,98178,888000.0,37787234.042553194
72,4,1.5,2640.0,1.0,7440.0,7440.0,98115,1850000.0,70075757.57575758
73,3,1.5,1340.0,1.0,5120.0,5120.0,98106,615000.0,45895522.3880597
74,6,3.5,8660.0,1.0,0.28,12196.800000000001,98102,4100000.0,47344110.85450347
77,3,1.0,1800.0,1.0,0.27,11761.2,98168,549000.0,30500000.0
78,2,1.0,870.0,1.0,6554.0,6554.0,98118,555000.0,63793103.448275864
79,3,3.5,1510.0,1.0,1239.0,1239.0,98103,660000.0,43708609.27152318
80,3,1.0,1120.0,1.0,6096.0,6096.0,98106,615000.0,54910714.28571428
81,4,2.5,2580.0,1.0,0.26,11325.6,98146,1635000.0,63372093.02325582
83,3,4.0,2220.0,1.0,974.0,974.0,98109,1650000.0,74324324.32432432
85,3,2.0,1496.0,1.0,1.0,43560.0,98144,910000.0,60828877.005347595
86,4,3.5,2670.0,1.0,3405.0,3405.0,98118,1022700.0,38303370.78651685
87,2,1.5,1810.0,1.0,6827.0,6827.0,98115,925000.0,51104972.37569061
88,1,1.0,582.0,1.0,0.5,21780.0,98109,360000.0,61855670.10309278
90,3,5.5,1530.0,1.0,1336.0,1336.0,98103,635000.0,41503267.97385621
91,2,1.0,820.0,1.0,5100.0,5100.0,98118,490000.0,59756097.56097561
92,3,2.0,1960.0,1.0,5000.0,5000.0,98105,950000.0,48469387.75510204
93,4,3.0,2110.0,1.0,0.24,10454.4,98133,760000.0,36018957.34597156
94,4,3.5,3010.0,1.0,4000.0,4000.0,98106,985000.0,32724252.491694354
95,3,1.0,2200.0,1.0,5000.0,5000.0,98105,1250000.0,56818181.81818182
96,3,2.5,1820.0,1.0,4.05,176418.0,98118,690000.0,37912087.91208791
97,4,4.0,3040.0,1.0,4000.0,4000.0,98119,1585000.0,52138157.89473684
98,3,2.0,1800.0,1.0,6180.0,6180.0,98118,936000.0,52000000.0
100,3,3.0,1450.0,1.0,525.0,525.0,98117,750000.0,51724137.93103448
103,4,2.0,2400.0,1.0,5400.0,5400.0,98119,1385000.0,57708333.333333336
105,4,3.5,3057.0,1.0,7650.0,7650.0,98117,1800000.0,58881256.13346418
107,4,4.0,3142.0,1.0,6000.0,6000.0,98119,1600000.0,50922978.99427117
108,3,1.0,1050.0,1.0,3750.0,3750.0,98106,399950.0,38090476.190476194
109,3,2.0,1720.0,1.0,5000.0,5000.0,98199,855000.0,49709302.325581394
110,3,3.5,2650.0,1.0,8500.0,8500.0,98136,1095000.0,41320754.716981135
111,2,1.5,2680.0,1.0,6000.0,6000.0,98102,1125000.0,41977611.940298505
112,4,2.5,2550.0,1.0,5000.0,5000.0,98115,1560000.0,61176470.5882353
113,9,4.0,3800.0,1.0,6000.0,6000.0,98116,1343000.0,35342105.2631579
115,4,2.0,1910.0,1.0,6000.0,6000.0,98168,630000.0,32984293.19371728
116,2,1.0,773.0,1.0,0.25,10890.0,98133,360000.0,46571798.18887451
119,4,3.5,2661.0,1.0,4081.0,4081.0,98108,1165000.0,43780533.63397219
121,4,3.0,2250.0,1.0,5250.0,5250.0,98115,1150000.0,51111111.11111111
122,4,1.5,2080.0,1.0,5000.0,5000.0,98116,950000.0,45673076.92307692
123,3,3.5,1370.0,1.0,982.0,982.0,98117,699500.0,51058394.16058394
124,1,1.0,699.0,1.0,4.27,186001.19999999998,98115,335000.0,47925608.01144492
125,2,3.0,1840.0,1.0,9420.0,9420.0,98125,800000.0,43478260.86956522
126,4,3.5,3040.0,1.0,0.39,16988.4,98177,1495000.0,49177631.578947365
128,5,8.5,3110.0,1.0,4455.0,4455.0,98115,1606500.0,51655948.55305466
129,2,2.0,1147.0,1.0,564.0,564.0,98115,749950.0,65383609.41586748
131,2,2.5,1538.0,1.0,900.0,900.0,98105,895000.0,58192457.7373212
132,2,1.0,1480.0,1.0,4600.0,4600.0,98126,720000.0,48648648.64864865
135,2,2.0,866.0,1.0,649.0,649.0,98107,555000.0,64087759.81524249
136,4,3.5,2000.0,1.0,1532.0,1532.0,98115,870000.0,43500000.0
137,3,3.5,1470.0,1.0,1375.0,1375.0,98117,845000.0,57482993.19727891
138,2,2.0,1840.0,1.0,5000.0,5000.0,98122,1200000.0,65217391.30434783
139,4,2.0,2230.0,1.0,5940.0,5940.0,98125,925000.0,41479820.62780269
140,2,1.5,1290.0,1.0,1332.0,1332.0,98115,795000.0,61627906.97674418
142,1,1.0,630.0,1.0,0.24,10454.4,98146,459000.0,72857142.85714285
143,3,2.0,1880.0,1.0,3200.0,3200.0,98144,911000.0,48457446.80851064
145,2,1.5,1300.0,1.0,3146.0,3146.0,98133,570288.0,43868307.692307696
147,2,2.0,1071.0,1.0,1.54,67082.40000000001,98119,605000.0,56489262.37161531
148,5,4.0,2810.0,1.0,5000.0,5000.0,98103,1295000.0,46085409.25266904
149,4,2.5,2400.0,1.0,3200.0,3200.0,98109,1595000.0,66458333.333333336
151,3,2.5,2734.0,1.0,4000.0,4000.0,98109,1605200.0,58712509.14411119
152,3,2.5,1670.0,1.0,1687.0,1687.0,98117,865000.0,51796407.18562874
153,3,3.0,1530.0,1.0,2260.0,2260.0,98126,745000.0,48692810.45751634
154,4,1.0,1720.0,1.0,2835.0,2835.0,98122,543750.0,31613372.093023255
155,3,1.0,1200.0,1.0,5786.0,5786.0,98105,1099950.0,91662500.0
156,5,3.0,2030.0,1.0,5046.0,5046.0,98144,905000.0,44581280.78817734
157,3,2.0,2370.0,1.0,4865.0,4865.0,98126,1200000.0,50632911.39240506
158,3,1.5,1720.0,1.0,3825.0,3825.0,98117,825000.0,47965116.27906977
159,1,1.0,813.0,1.0,0.24,10454.4,98121,680000.0,83640836.40836409
160,3,2.0,1590.0,1.0,8937.0,8937.0,98106,720000.0,45283018.86792453
162,2,1.0,840.0,1.0,4000.0,4000.0,98108,489000.0,58214285.71428572
164,5,2.5,2870.0,1.0,8741.0,8741.0,98168,520000.0,18118466.898954704
166,2,1.5,994.0,1.0,1494.0,1494.0,98106,580000.0,58350100.60362173
167,3,2.0,1630.0,1.0,6000.0,6000.0,98168,630000.0,38650306.74846626
169,3,2.0,1806.0,1.0,4400.0,4400.0,98126,799000.0,44241417.49723145
170,4,2.5,3060.0,1.0,4590.0,4590.0,98115,1450000.0,47385620.91503268
171,5,3.5,3820.0,1.0,7200.0,7200.0,98118,1350000.0,35340314.136125654
173,3,2.5,2350.0,1.0,7200.0,7200.0,98115,1582800.0,67353191.4893617
174,3,2.5,2080.0,1.0,9880.0,9880.0,98117,977000.0,46971153.84615385
175,3,1.0,1000.0,1.0,5960.0,5960.0,98118,710000.0,71000000.0
176,2,1.5,1131.0,1.0,1.0,43560.0,98144,685000.0,60565870.910698496
177,4,3.0,2230.0,1.0,9625.0,9625.0,98178,1205000.0,54035874.43946189
178,5,3.0,3130.0,1.0,5750.0,5750.0,98122,2095000.0,66932907.34824281
179,5,3.0,3750.0,1.0,5000.0,5000.0,98107,1580000.0,42133333.333333336
181,2,2.0,1720.0,1.0,5000.0,5000.0,98116,985000.0,57267441.86046512
183,3,2.0,1286.0,1.0,870.0,870.0,98136,738000.0,57387247.278382584
185,2,1.0,1422.0,1.0,3399.0,3399.0,98117,715000.0,50281293.95218003
186,4,3.5,3956.0,1.0,0.29,12632.4,98125,3200000.0,80889787.66430739
187,6,5.0,3620.0,1.0,5500.0,5500.0,98119,1420000.0,39226519.337016575
188,3,1.5,1370.0,1.0,6556.0,6556.0,98178,659950.0,48171532.84671533
190,2,3.0,1824.0,1.0,0.37,16117.199999999999,98101,2458000.0,134758771.92982456
192,4,2.0,2370.0,1.0,5000.0,5000.0,98115,1350000.0,56962025.3164557
193,4,2.5,2200.0,1.0,5146.0,5146.0,98106,825000.0,37500000.0
194,6,3.0,3020.0,1.0,0.75,32670.0,98178,775000.0,25662251.65562914
195,5,3.0,3400.0,1.0,0.43,18730.8,98168,756500.0,22250000.0
196,3,1.0,1660.0,1.0,4349.0,4349.0,98115,749900.0,45174698.79518072
197,4,2.0,2080.0,1.0,7200.0,7200.0,98178,675000.0,32451923.076923076
199,2,1.0,900.0,1.0,6150.0,6150.0,98126,480000.0,53333333.333333336
200,4,4.5,3960.0,1.0,7025.0,7025.0,98144,2485000.0,62752525.252525255
202,5,3.5,3310.0,1.0,6328.0,6328.0,98115,1575000.0,47583081.57099698
203,1,1.0,621.0,1.0,0.31,13503.6,98133,289900.0,46682769.72624799
205,4,2.0,1910.0,1.0,5166.0,5166.0,98106,685000.0,35863874.34554974
206,3,2.5,1563.0,1.0,1950.0,1950.0,98118,839950.0,53739603.32693538
207,5,3.5,3340.0,1.0,0.24,10454.4,98106,980000.0,29341317.36526946
208,4,3.0,2390.0,1.0,3600.0,3600.0,98119,1300000.0,54393305.43933054
209,2,1.5,1131.0,1.0,1.0,43560.0,98144,670000.0,59239610.963748895
210,2,2.0,1201.0,1.0,720.0,720.0,98103,699950.0,58280599.500416316
211,3,3.0,1940.0,1.0,5000.0,5000.0,98199,450000.0,23195876.288659792
213,2,1.0,1760.0,1.0,4625.0,4625.0,98116,715000.0,40625000.0
214,4,3.0,1680.0,1.0,3080.0,3080.0,98117,905000.0,53869047.61904762
215,2,2.0,1192.0,1.0,928.0,928.0,98103,719950.0,60398489.93288591
216,4,4.0,2300.0,1.0,3589.0,3589.0,98105,1440000.0,62608695.652173914
217,3,2.5,2304.0,1.0,5000.0,5000.0,98117,1100000.0,47743055.55555555
218,4,4.0,2650.0,1.0,6000.0,6000.0,98103,1000000.0,37735849.056603774
219,5,4.0,4210.0,1.0,5200.0,5200.0,98105,2625000.0,62351543.94299287
220,4,3.0,2840.0,1.0,9996.0,9996.0,98177,1350000.0,47535211.26760563
221,2,1.0,980.0,1.0,4100.0,4100.0,98107,863000.0,88061224.48979592
222,4,4.5,2440.0,1.0,5000.0,5000.0,98105,1900000.0,77868852.4590164
223,2,2.0,1140.0,1.0,2550.0,2550.0,98117,590000.0,51754385.96491228
224,4,3.5,1824.0,1.0,3250.0,3250.0,98103,1299000.0,71217105.26315789
225,2,2.0,1115.0,1.0,0.96,41817.6,98121,1069000.0,95874439.46188341
226,4,3.0,2478.0,1.0,4001.0,4001.0,98105,2095000.0,84543987.08635996
227,2,2.0,1140.0,1.0,5445.0,5445.0,98133,665000.0,58333333.333333336
228,3,1.5,1172.0,1.0,5760.0,5760.0,98122,685000.0,58447098.976109214
229,2,2.0,1433.0,1.0,1948.0,1948.0,98136,750000.0,52337752.965806
230,3,2.0,1520.0,1.0,4000.0,4000.0,98117,760000.0,50000000.0
231,3,2.5,1380.0,1.0,2250.0,2250.0,98106,590000.0,42753623.1884058
232,15,6.0,11010.0,1.0,0.33,14374.800000000001,98112,3700000.0,33605812.89736603
233,4,2.0,1750.0,1.0,4950.0,4950.0,98105,1025000.0,58571428.571428575
234,3,2.5,3590.0,1.0,4250.0,4250.0,98103,1725000.0,48050139.275766015
236,5,3.0,2040.0,1.0,6180.0,6180.0,98118,605000.0,29656862.74509804
237,2,2.0,1560.0,1.0,6750.0,6750.0,98115,980000.0,62820512.820512824
238,2,2.5,1088.0,1.0,5500.0,5500.0,98107,835000.0,76746323.52941176
239,2,1.0,1460.0,1.0,5700.0,5700.0,98115,400000.0,27397260.273972604
240,3,2.0,1380.0,1.0,2909.0,2909.0,98117,800000.0,57971014.492753625
241,2,1.0,1000.0,1.0,4640.0,4640.0,98116,793000.0,79300000.0
242,2,2.0,1128.0,1.0,6000.0,6000.0,98144,625000.0,55407801.418439716
243,1,1.0,776.0,1.0,1.09,47480.4,98116,515000.0,66365979.3814433
244,3,2.5,2000.0,1.0,7440.0,7440.0,98106,799000.0,39950000.0
246,4,5.5,2867.0,1.0,4983.0,4983.0,98115,1750000.0,61039414.02162539
247,4,3.0,1180.0,1.0,4650.0,4650.0,98117,956300.0,81042372.88135593
248,3,2.0,1920.0,1.0,3154.0,3154.0,98199,1067000.0,55572916.666666664
249,2,2.0,2220.0,1.0,5950.0,5950.0,98126,551000.0,24819819.81981982
250,2,3.0,1300.0,1.0,915.0,915.0,98107,780000.0,60000000.0
252,3,2.0,1460.0,1.0,5005.0,5005.0,98106,583000.0,39931506.84931507
253,3,2.5,2500.0,1.0,4305.0,4305.0,98117,1685000.0,67400000.0
254,3,2.5,1540.0,1.0,1037.0,1037.0,98122,852500.0,55357142.85714286
255,5,3.0,2550.0,1.0,6604.0,6604.0,98106,940000.0,36862745.09803922
257,3,2.5,1520.0,1.0,1062.0,1062.0,98106,540700.0,35572368.421052635
258,1,1.0,640.0,1.0,0.35,15245.999999999998,98104,345000.0,53906250.0
259,4,3.0,2190.0,1.0,5136.0,5136.0,98126,860000.0,39269406.39269406
260,2,1.0,930.0,1.0,6000.0,6000.0,98133,620000.0,66666666.666666664
261,5,2.5,2900.0,1.0,0.23,10018.800000000001,98106,800000.0,27586206.896551725
262,4,3.5,2780.0,1.0,4000.0,4000.0,98112,950000.0,34172661.8705036
263,3,1.0,2560.0,1.0,8927.0,8927.0,98125,776000.0,30312500.0
265,3,2.5,1566.0,1.0,1602.0,1602.0,98122,875000.0,55874840.357598975
266,2,2.0,1245.0,1.0,4.11,179031.6,98168,330000.0,26506024.096385542
267,3,2.5,1190.0,1.0,1290.0,1290.0,98144,750000.0,63025210.084033616
268,5,2.5,2760.0,1.0,6350.0,6350.0,98126,1025000.0,37137681.15942029
269,4,1.5,3260.0,1.0,5568.0,5568.0,98199,1695000.0,51993865.030674845
270,4,3.0,2380.0,1.0,4635.0,4635.0,98115,1399999.0,58823487.39495798
271,2,2.5,1884.0,1.0,0.27,11761.2,98116,925000.0,49097664.543524414
272,3,2.5,1712.0,1.0,1215.0,1215.0,98117,910000.0,53154205.60747664
273,2,2.0,1196.0,1.0,780.0,780.0,98107,734999.0,61454765.88628762
274,3,2.0,1098.0,1.0,2320.0,2320.0,98105,864950.0,78775045.53734063
275,3,3.0,1250.0,1.0,6350.0,6350.0,98117,815000.0,65200000.0
276,1,1.0,880.0,1.0,4500.0,4500.0,98122,700000.0,79545454.54545455
278,4,2.0,1595.0,1.0,5500.0,5500.0,98118,525000.0,32915360.501567397
279,3,3.0,2380.0,1.0,5000.0,5000.0,98136,1230000.0,51680672.26890756
280,3,2.0,3190.0,1.0,4380.0,4380.0,98112,2700000.0,84639498.43260188
281,3,2.5,1465.0,1.0,2973.0,2973.0,98119,1175000.0,80204778.1569966
282,4,2.0,2910.0,1.0,8360.0,8360.0,98115,1400000.0,48109965.635738835
283,2,3.0,1140.0,1.0,650.0,650.0,98144,675000.0,59210526.315789476
284,1,1.0,500.0,1.0,4000.0,4000.0,98168,385000.0,77000000.0
285,3,2.0,1580.0,1.0,6400.0,6400.0,98126,942000.0,59620253.164556965
287,5,3.0,2430.0,1.0,7812.0,7812.0,98133,915000.0,37654320.98765432
289,2,2.0,2360.0,1.0,5800.0,5800.0,98199,1460000.0,61864406.779661015
290,3,2.5,1396.0,1.0,4800.0,4800.0,98136,780000.0,55873925.501432665
292,4,2.0,2340.0,1.0,7500.0,7500.0,98115,925000.0,39529914.52991453
293,4,1.5,2140.0,1.0,6511.0,6511.0,98125,700500.0,32733644.859813083
294,4,3.0,2980.0,1.0,4480.0,4480.0,98105,1090000.0,36577181.20805369
295,3,1.5,1390.0,1.0,9350.0,9350.0,98168,412000.0,29640287.76978417
296,2,1.0,720.0,1.0,4240.0,4240.0,98106,525000.0,72916666.66666667
298,4,2.5,1850.0,1.0,2856.0,2856.0,98108,945000.0,51081081.08108108
299,3,4.5,1710.0,1.0,1326.0,1326.0,98126,725000.0,42397660.81871345
300,2,1.0,970.0,1.0,0.35,15245.999999999998,98106,386000.0,39793814.432989694
301,3,2.0,1606.0,1.0,900.0,900.0,98109,1450000.0,90286425.90286426
302,3,2.5,1815.0,1.0,1500.0,1500.0,98103,1295000.0,71349862.25895317
303,2,1.0,1120.0,1.0,1188.0,1188.0,98122,700000.0,62500000.0
304,4,2.0,2220.0,1.0,9295.0,9295.0,98177,995000.0,44819819.81981982
306,3,2.0,1460.0,1.0,4590.0,4590.0,98117,888000.0,60821917.80821918
307,5,3.0,3820.0,1.0,7980.0,7980.0,98116,1575000.0,41230366.4921466
308,3,3.5,2480.0,1.0,2400.0,2400.0,98119,1795000.0,72379032.25806452
309,5,3.0,2777.0,1.0,7026.0,7026.0,98125,1338600.0,48203096.86712279
310,2,2.0,1170.0,1.0,588.0,588.0,98144,624999.0,53418717.94871795
312,3,1.0,1430.0,1.0,2280.0,2280.0,98103,980000.0,68531468.53146853
313,2,5.5,1320.0,1.0,1250.0,1250.0,98144,679950.0,51511363.63636363
314,2,2.0,2170.0,1.0,5250.0,5250.0,98116,893000.0,41152073.73271889
316,3,1.5,1630.0,1.0,6615.0,6615.0,98115,895000.0,54907975.4601227
317,2,2.0,1900.0,1.0,2164.0,2164.0,98122,1310000.0,68947368.42105263
318,3,2.0,1760.0,1.0,4000.0,4000.0,98106,689000.0,39147727.27272727
319,3,2.5,1712.0,1.0,1514.0,1514.0,98107,970000.0,56658878.5046729
320,4,2.5,3190.0,1.0,5500.0,5500.0,98102,1820000.0,57053291.536050156
321,4,3.5,3590.0,1.0,4000.0,4000.0,98109,2900000.0,80779944.2896936
322,1,1.0,630.0,1.0,4895.0,4895.0,98133,255000.0,40476190.47619048
324,5,2.0,1830.0,1.0,5220.0,5220.0,98118,665000.0,36338797.81420765
325,2,1.0,760.0,1.0,3072.0,3072.0,98144,250000.0,32894736.842105262
326,3,2.5,2600.0,1.0,5100.0,5100.0,98117,1148000.0,44153846.15384615
327,3,2.0,2130.0,1.0,4850.0,4850.0,98107,990200.0,46488262.910798125
328,3,3.5,2899.0,1.0,5346.0,5346.0,98199,1800000.0,62090375.99172128
329,3,1.0,1090.0,1.0,0.31,13503.6,98178,400000.0,36697247.706422016
330,4,4.0,3360.0,1.0,5000.0,5000.0,98107,1200000.0,35714285.71428572
331,4,2.5,2240.0,1.0,5229.0,5229.0,98117,1050000.0,46875000.0
332,2,1.0,886.0,1.0,8863.0,8863.0,98112,620000.0,69977426.63656884
333,3,2.0,1560.0,1.0,4960.0,4960.0,98106,799000.0,51217948.71794872
334,4,2.0,1730.0,1.0,8100.0,8100.0,98146,852000.0,49248554.9132948
335,3,2.0,1700.0,1.0,5346.0,5346.0,98115,1150000.0,67647058.8235294
336,4,3.5,1909.0,1.0,1544.0,1544.0,98103,1500000.0,78575170.2462022
337,3,2.0,2180.0,1.0,3740.0,3740.0,98117,1012000.0,46422018.34862386
339,3,3.0,1460.0,1.0,7200.0,7200.0,98144,1000000.0,68493150.6849315
341,2,1.0,1010.0,1.0,6750.0,6750.0,98125,549950.0,54450495.04950495
344,3,1.0,990.0,1.0,8100.0,8100.0,98146,635000.0,64141414.14141414
345,2,2.0,1164.0,1.0,8280.0,8280.0,98117,706474.0,60693642.611683846
346,1,1.0,583.0,1.0,0.29,12632.4,98119,349000.0,59862778.73070326
348,4,2.0,2740.0,1.0,6000.0,6000.0,98119,1400000.0,51094890.510948904
349,3,2.0,1670.0,1.0,5400.0,5400.0,98118,485000.0,29041916.16766467
350,3,1.0,830.0,1.0,7800.0,7800.0,98125,660000.0,79518072.28915663
351,2,2.0,1200.0,1.0,1247.0,1247.0,98122,705000.0,58750000.0
352,3,3.5,2530.0,1.0,1880.0,1880.0,98102,1299000.0,51343873.51778656
353,4,3.0,2660.0,1.0,5100.0,5100.0,98117,1360000.0,51127819.54887218
354,4,2.0,2820.0,1.0,4764.0,4764.0,98117,1441000.0,51099290.780141845
355,2,1.0,1011.0,1.0,0.24,10454.4,98103,159488.0,15775272.007912958
356,2,1.5,1088.0,1.0,1518.0,1518.0,98106,590000.0,54227941.176470585
357,6,3.5,3785.0,1.0,5150.0,5150.0,98117,3150000.0,83223249.669749
358,3,2.0,1540.0,1.0,1102.0,1102.0,98144,630000.0,40909090.90909091
359,2,1.5,1180.0,1.0,0.25,10890.0,98168,575000.0,48728813.55932204
360,3,3.5,1968.0,1.0,1498.0,1498.0,98199,980000.0,49796747.967479676
361,1,1.0,610.0,1.0,0.59,25700.399999999998,98119,340000.0,55737704.91803279
362,2,2.0,1346.0,1.0,0.53,23086.800000000003,98116,800000.0,59435364.04160476
363,2,2.5,1320.0,1.0,1030.0,1030.0,98133,570000.0,43181818.18181818
364,3,3.5,3064.0,1.0,0.59,25700.399999999998,98121,2450000.0,79960835.50913838
365,3,2.0,2980.0,1.0,5800.0,5800.0,98115,1415000.0,47483221.47651007
366,4,3.5,3050.0,1.0,6146.0,6146.0,98102,2250000.0,73770491.80327868
367,3,2.0,2020.0,1.0,7200.0,7200.0,98133,917500.0,45420792.07920792
368,3,2.5,1926.0,1.0,1483.0,1483.0,98122,1148000.0,59605399.79231568
369,2,1.0,1330.0,1.0,7425.0,7425.0,98125,479000.0,36015037.59398496
370,3,2.0,2410.0,1.0,4950.0,4950.0,98199,1083000.0,44937759.33609959
371,2,2.5,1580.0,1.0,5000.0,5000.0,98106,699000.0,44240506.32911392
372,3,1.0,1030.0,1.0,4480.0,4480.0,98105,710000.0,68932038.83495146
373,3,3.0,1630.0,1.0,6721.0,6721.0,98168,615000.0,37730061.34969325
374,4,2.5,2370.0,1.0,3600.0,3600.0,98146,750000.0,31645569.620253164
376,4,1.0,1310.0,1.0,6000.0,6000.0,98146,735000.0,56106870.22900763
377,3,2.0,1996.0,1.0,4656.0,4656.0,98117,986500.0,49423847.69539078
378,3,2.0,1580.0,1.0,6396.0,6396.0,98126,820000.0,51898734.17721519
381,4,2.0,2360.0,1.0,6120.0,6120.0,98115,950000.0,40254237.288135596
382,3,2.0,1496.0,1.0,1.0,43560.0,98144,824500.0,55113636.36363637
383,2,2.5,1250.0,1.0,1027.0,1027.0,98117,725000.0,58000000.0
386,4,2.5,2380.0,1.0,5000.0,5000.0,98105,1900000.0,79831932.77310924
387,2,2.0,1095.0,1.0,617.0,617.0,98177,599950.0,54789954.33789954
388,2,2.0,1080.0,1.0,1175.0,1175.0,98106,533500.0,49398148.14814815
389,2,2.0,1146.0,1.0,800.0,800.0,98112,845000.0,73734729.49389179
390,4,2.5,1544.0,1.0,2352.0,2352.0,98117,850000.0,55051813.47150259
391,1,1.0,707.0,1.0,0.26,11325.6,98122,590000.0,83451202.26308346
392,4,3.0,2067.0,1.0,1.0,43560.0,98122,1074900.0,52002902.75761974
393,4,3.0,2360.0,1.0,7200.0,7200.0,98115,1360000.0,57627118.644067794
394,2,2.0,724.0,1.0,5400.0,5400.0,98103,430000.0,59392265.19337016
